setting,src,tgt,interval,unknown,unknown_name,n_src,n_tgt,n_unknown_tgt,d_novel_maha,d_drift_maha,DNR_maha,d_novel_euclid,d_drift_euclid,DNR_euclid,d_novel_energy,d_drift_energy,DNR_energy,AUROC_maha,AUROC_knn,AUROC_msp,MMD_drift,MMD_novel,MMD_ratio,PAD_drift,DNR_maha_mean,d_novel_maha_mean,d_drift_maha_mean,AUROC_maha_mean,DNR_maha_coral,d_novel_maha_coral,d_drift_maha_coral,AUROC_maha_coral,pair
Setting 1,1,8,7,4,Acetaldehyde,445,294,33,15.44457804386187,26.605095142024844,1.7226171583624774,7.106042551911861,10.830153631178032,1.5240766646217465,8.655114902207465,13.394977998531818,1.5476372237548761,0.5040055729710902,0.7545570649018924,0.6614420062695924,0.2667453143355135,0.28709662302791394,0.9291133818372301,1.952,1.6297632271221576,12.099083478551758,19.718641335224895,0.6569139672587949,0.9151916047942786,6.822752222621053,6.244125555734293,0.7477069546035063,1->8
Setting 1,1,8,7,5,Acetone,445,294,143,22.14066423846239,29.167837621086914,1.3173876495727277,7.667061760484429,11.770419745993863,1.5351930261808888,7.868467272772062,14.996443777035115,1.905891358146536,0.40536284907145836,0.2295188255453156,0.6726716991617654,0.2711140173657989,0.27874919443801427,0.9726091510771586,1.9800995024875623,2.2508677512984483,9.789133399170005,22.034044681350327,0.13147779372944934,1.0263417801366803,8.19707643444202,8.413002019641654,0.4419487796971241,1->8
Setting 1,1,8,7,6,Toluene,445,294,18,56.39769922102775,18.660556170317005,0.33087442268140366,9.59722186146194,10.916457772679442,1.1374601869437813,10.473999161780183,13.316322552172135,1.2713694498624406,0.55414653784219,0.6650563607085347,0.11634460547504025,0.2664020420313812,0.3162292243441225,0.842433341143325,1.904,0.290770042747214,45.821798423580695,13.323606286378782,0.5628019323671498,0.9142636459349889,6.761921101820944,6.182178640075553,0.7906602254428341,1->8
Setting 1,1,9,8,1,Ethanol,445,470,61,24.19603261937385,25.021541106253743,1.0341175142167276,10.969460116770152,10.55940399566764,0.9626183862526091,15.519282158760355,13.004513753422302,0.8379584584124266,0.9682953224578139,0.9914225019038839,0.6480820874584151,0.3746369023918221,0.49478349925257503,0.7571733959555087,1.968,1.2327547060270112,17.740606304227992,21.86981590930952,0.9356286825123251,1.4079943108681625,4.564202750465315,6.426371506303982,0.35845124053068256,1->9
Setting 1,1,9,8,2,Ethylene,445,470,55,11.365716852502759,26.71329294462394,2.3503394718777995,7.568940970511334,11.309979999662255,1.4942618846845346,11.500973299339062,14.387129216826969,1.2509488407953933,0.028740416210295727,0.019759036144578333,0.9705585980284775,0.3660357117517036,0.3572503941674927,1.0245914846495368,1.968,1.5820288732274657,14.127080781488141,22.34944969073107,0.3609200438116101,0.5195316431745822,15.719975763203406,8.167024838921673,0.8823658269441402,1->9
Setting 1,1,9,8,3,Ammonia,445,470,100,27.14679675240092,32.49587293808416,1.1970426284349795,8.44839963887597,11.889445288040953,1.407301476759071,11.3063284033692,15.276717754675294,1.3511652244351002,0.8010270270270271,0.3888918918918919,0.3637837837837838,0.39936532775694844,0.469837373625986,0.850007577462033,1.888,1.1556926071498328,22.144513316816067,25.592250329175354,0.9342162162162162,0.5396179400242292,21.89010302094298,11.812292299079408,0.6750270270270271,1->9
Setting 1,1,9,8,4,Acetaldehyde,445,470,75,14.884148049358874,29.19125049390218,1.9612308609870068,7.159399096419585,11.03821058787005,1.5417789173661598,8.030463621287822,14.015316582992222,1.7452686723888833,0.37920675105485235,0.5938902953586498,0.8645400843881856,0.3469932929489523,0.30170118929434264,1.1501223901720263,1.952,1.4272255321740073,17.331667277074615,24.736198052985646,0.8750717299578059,2.061745721797071,2.90619004606882,5.991824894211622,0.7124725738396624,1->9
Setting 1,1,9,8,5,Acetone,445,470,78,69.01026695678895,19.273076729637715,0.279278396962377,9.150116018020427,11.772598985986216,1.2866065263873177,8.06337099381145,15.577847889706103,1.9319274657785104,0.5230245944531658,0.4057103610675039,0.841902145473574,0.3551376645650216,0.2604199965996059,1.363711194233074,1.968,0.3158639628316658,54.31196954517377,17.155193929731333,0.6838042909471481,0.38843155374802313,18.835350742611467,7.316244554341553,0.9840724751439037,1->9
Setting 1,1,9,8,6,Toluene,445,470,101,16.60867242851484,29.091116702406417,1.7515618317849964,8.384309139134775,10.954701516914046,1.3065717562561778,11.23852261993988,13.14777896327951,1.1698849935980147,0.6048726823901902,0.7780460972926561,0.16783385655638738,0.342459586309826,0.3993119508835308,0.8576241846808957,1.968,1.971909126906154,13.153721718525906,25.937943909544934,0.06788483726421421,1.1131560462537893,5.9959741623643,6.67445489201732,0.5304408489629451,1->9
Setting 1,1,10,9,1,Ethanol,445,3600,600,19.99548017986922,22.791471107705778,1.139831146973478,8.71419879398977,10.441657189727271,1.1982349079445995,7.863517492568118,8.20285382250371,1.043153249198759,0.6104566666666668,0.7358783333333333,0.4763794444444444,0.11215991275837744,0.2642452932733501,0.42445377690172503,1.968,1.3371251402039168,11.986811324381323,16.027866772711274,0.5774544444444444,0.7329780690492061,6.490110621151182,4.757108751007137,0.6209333333333332,1->10
