setting,src,tgt,unknown,unknown_name,DNR,lo,hi,DNR_mean_knownonly,dnovel_mean_knownonly,ddrift_mean_knownonly,AUROC_mean_knownonly,DNR_coral_knownonly,dnovel_coral_knownonly,ddrift_coral_knownonly,AUROC_coral_knownonly
Setting 1,1,8,4,Acetaldehyde,1.7226171583624774,0.8506756386042675,3.036689651549383,1.4728247397040826,13.406282879538837,19.745105092456086,0.6807151979565772,0.4569867080812774,14.151975375419703,6.46726463966035,0.9823522582143271
Setting 1,1,8,5,Acetone,1.3173876495727277,0.986788169701539,2.187607073807493,1.489544909987057,14.46729048374581,21.54967890136776,0.3010234798314269,0.3270904388436049,29.867351260175223,9.76932503078681,0.797712221553281
Setting 1,1,8,6,Toluene,0.33087442268140366,0.1168814269713099,1.2790819811401015,0.26014528725696695,48.80820184545079,12.69722368958082,0.5722624798711755,0.14553724233253124,43.67622610516669,6.356517502838072,0.9905394524959742
Setting 1,1,9,1,Ethanol,1.0341175142167276,0.6289306471887826,1.9963861745097577,1.0987762777424157,20.237223023580324,22.236180585692704,0.9511002444987775,0.16360881814352526,38.532450717529386,6.304248722068615,0.9973145216241132
Setting 1,1,9,2,Ethylene,2.3503394718777995,1.5301764046019102,4.316014245131071,1.458810570792324,15.584759667040084,22.735212145535932,0.44219058050383353,0.07139916245987575,119.02724107889492,8.498445322942814,1.0
Setting 1,1,9,3,Ammonia,1.1970426284349795,0.8317596328647641,2.1179672121853415,0.9868485567497214,27.015113654056265,26.659825919935116,0.9631891891891892,0.011264682275572487,1000.0471438791948,11.265213336392854,1.0
Setting 1,1,9,4,Acetaldehyde,1.9612308609870068,1.1354403276075526,3.913333929428854,1.2678923521988072,20.395474085985537,25.85926561309002,0.9373164556962025,0.3241886101658258,19.406409410011896,6.29133689494076,0.9914261603375527
Setting 1,1,9,5,Acetone,0.279278396962377,0.09914320229593303,1.1273744195034456,0.19630350548882983,65.10436814619591,12.780215689733566,0.9030612244897959,0.11516320022550411,94.09568015119633,10.836359653607216,0.9969911041339614
Setting 1,1,9,6,Toluene,1.7515618317849964,1.0102094903493544,3.4807183565265754,1.6411099448303734,16.551483126489586,27.162803560574183,0.16834366363465614,0.060050786975533954,113.11094224110299,6.792401097122401,1.0
Setting 1,1,10,1,Ethanol,1.139831146973478,1.1114909922224558,1.180737144556459,1.1512681093793717,13.91726241854941,16.02250039233996,0.6649577777777778,0.39091420191692583,12.610376815010703,4.929575388511614,0.8790027777777779
Setting 1,1,10,2,Ethylene,1.1050346964071853,1.0560736722349287,1.1610114594367744,0.9128249335795551,17.795580884787668,16.244249939165904,0.7207883333333334,0.21884416365050507,32.77181077585951,7.1719195205555835,0.8786761111111111
Setting 1,1,10,3,Ammonia,0.7297021404572278,0.7003531207529882,0.7664164169002606,0.5963370919388342,31.481055911081988,18.77332133317848,0.8362888888888889,0.11722155882816054,93.74757654157354,10.989237058565546,0.8699155555555556
Setting 1,1,10,4,Acetaldehyde,1.9916615341940391,1.926314830850931,2.05829933729205,1.3433183767348458,13.338307806239422,17.917593990667264,0.2128733333333333,0.9670699831258475,4.674667224890506,4.520730354293813,0.43913444444444444
Setting 1,1,10,5,Acetone,0.3477603656537213,0.3259152702076837,0.3774663913587324,0.23865666898106142,55.4634560586119,13.236723673125784,0.8874966666666666,0.09006058701817635,93.51020312165882,8.421583785325499,0.9825461111111111
Setting 1,1,10,6,Toluene,1.510702801102808,1.4601097655981237,1.5722310234195276,1.2284206526265766,13.85191094480137,17.01597348293812,0.39542499999999997,0.4698807465468527,10.98250811448444,5.160469111790817,0.7372322222222223
Setting 2,2,3,1,Ethanol,0.5056615698759735,0.4770634421528261,0.5372452111841644,0.9759482150101135,131.14592165767147,127.99162814766066,0.9840732388677594,0.042151978225539025,4701.340453247868,198.17080041614992,0.9610200486912817
Setting 2,2,3,2,Ethylene,0.26490286029337057,0.2537956100032328,0.277378094108443,0.28013487826498595,22.070279051511452,6.18265493536943,0.9867179353493223,0.07489918623282338,96.40238181346486,7.22045994873445,0.9995810367942798
Setting 2,2,3,3,Ammonia,0.9528283782292353,0.9177480589049791,0.9954371153966275,0.5336577363325115,9.949135504163806,5.309433131617477,0.8944647201946473,0.07935958663164953,34.41663388523453,2.7312898383850346,0.9996553122465531
Setting 2,2,3,4,Acetaldehyde,1.2758348382655502,1.2305559233248025,1.3269723251627779,0.8632377851244154,6.083586350660039,5.251581606956897,0.5625804853888063,0.23323095877995342,11.275976485506984,2.6299068068950033,0.9698117880138682
Setting 2,2,3,5,Acetone,0.30368886546359114,0.28322109466114515,0.3280680801760547,0.4139768175476443,31.16415925087597,12.901239468225613,0.9913986547396159,0.03775540245252255,370.7727238103224,13.998673405876712,0.9885860897302544
Setting 2,3,4,1,Ethanol,0.40748052099333215,0.2616761912099388,0.6302407239459404,0.48629659303238776,70.16259763629014,34.11983218883016,0.8704896907216495,0.014350352431746727,494.5658918270295,7.097194848439001,1.0
Setting 2,3,4,2,Ethylene,0.9912783923756424,0.7668553571813143,1.2701623553277452,0.6527478953824895,86.14890665392703,56.233517507853406,0.677769018525818,0.060931547413367024,390.3927460828365,23.787234117780905,1.0
Setting 2,3,4,3,Ammonia,2.1069238883803694,1.6872963472918217,2.627076471657178,0.9028331912538315,48.20992579914115,43.52552115934903,0.2925055928411633,0.022842725654804507,238.16602168541368,5.440361093656126,1.0
Setting 2,3,4,4,Acetaldehyde,0.4372129725772304,0.26319555091397123,0.7780796881252279,0.5653441164165538,65.86675929627215,37.23738483557281,0.712468193384224,0.11215481619849942,41.07442390334971,4.606694463339438,1.0
Setting 2,3,4,5,Acetone,0.8052646852636264,0.6294093705938816,0.9978344534367539,0.703481050789955,103.40722028921782,72.74501998832731,0.6940715883668904,0.025481165902630568,842.63524621618,21.47132850423844,1.0
Setting 2,4,5,1,Ethanol,0.27049146965666665,0.23487382054895312,0.325032538595042,0.48945446196421805,43.561403626516366,21.321323374422704,0.9816145393068471,0.04739062457520489,455.7251752291647,21.597100688754807,1.0
Setting 2,4,5,2,Ethylene,0.1879843107238348,0.1724353328154771,0.22192340887103562,0.3537378803448351,37.86875984385564,13.395614838453104,0.9840764331210191,0.08683186917178998,182.22216069038714,15.822690817268587,1.0
Setting 2,4,5,3,Ammonia,0.28714670413594773,0.25232784182488277,0.363442110177962,0.46148060122336443,22.221618692180694,10.2548459542239,0.9745762711864406,0.10987711793210955,85.84592055363584,9.432502336662353,0.9988700564971751
Setting 2,4,5,4,Acetaldehyde,0.3878502782816583,0.36197294651850104,0.4577530646132555,0.6788586755439487,13.38306254589212,9.085208114626152,0.6094154909300317,0.36472013605056625,23.735550528579033,8.656833218018434,0.9755254822919667
Setting 2,4,5,5,Acetone,0.1549713037248915,0.1418326820586058,0.19441826171489798,0.18198552576054441,33.98829298503262,6.185377368584585,0.9911158493248045,0.06626732854003699,101.29032627361316,6.712239329101063,0.9994077232883203
Setting 2,5,6,1,Ethanol,0.7473690595687514,0.7354358221553183,0.767374995722673,0.47824980788449944,18.193625022076795,8.70109767153085,0.9800708929372857,0.1867515033943284,67.02221783935362,12.516499942321463,0.9990098082361297
Setting 2,5,6,2,Ethylene,0.4499717448140526,0.43842402960803883,0.4653635050442075,0.35278134267419003,24.07740748833346,8.494060141847875,0.9780907699823564,0.14493473522860081,112.93061496057496,16.367568778514,0.9953216031912016
Setting 2,5,6,3,Ammonia,0.9243708516280965,0.889473202137467,0.9628198893177474,0.4351715035386489,14.983746260639553,6.520499388884122,0.9476172685761727,0.046412302296577446,89.41366946271354,4.149894256549716,0.958252386882524
Setting 2,5,6,4,Acetaldehyde,0.7716127281759937,0.7410563572406689,0.8047715866857418,0.5545616119373714,11.17884578990281,6.199358740847801,0.8876842952367938,0.2706456811986369,12.225296414060969,3.308723675838784,0.9752046037747308
Setting 2,5,6,5,Acetone,0.7407224536097207,0.7263855087182667,0.7594420936816995,0.9088742395578021,17.64541020910968,16.03745878549004,0.8483708760486438,0.1596961603114884,85.8043299634663,13.702622033265563,0.9554621046520236
Setting 2,5,6,6,Toluene,0.9054656975144795,0.8934276650193186,0.9226119724039706,0.9811892659327751,7.143934363774151,7.009551714263486,0.29931274247644013,0.304706314273992,14.222547256475039,4.3336999541081855,0.9085876232898877
Setting 2,6,7,1,Ethanol,0.31837054816202587,0.30715184776175564,0.33321159049527616,0.276297518664835,34.993933049697425,9.66873686995476,0.9691620452102163,0.06746828564910899,99.42792428661696,6.708231597267455,0.9983551981767861
Setting 2,6,7,2,Ethylene,0.16374286817769582,0.15524150258333766,0.172924359721109,0.19230503998683426,85.64542311625715,16.47004651706117,0.9567528442916068,0.054440950733199524,310.72878599512586,16.916370529747546,0.9667387060149614
Setting 2,6,7,3,Ammonia,0.3843621658085876,0.3671512770172132,0.4056956661525897,0.2910699178278976,29.735654777405195,8.65515459261806,0.8949636233220616,0.0488257374324085,144.6533312694939,7.062805571287515,0.9971897735423711
Setting 2,6,7,4,Acetaldehyde,0.9329156822540594,0.9052166774526629,0.9637928995797617,0.7644543138611802,11.24190750928676,8.593924691502659,0.5317000978198541,0.26320849074270175,12.98093216762914,3.416691564275054,0.8599564495515652
Setting 2,6,7,5,Acetone,0.5204853984469382,0.5006862776815276,0.5489145841292479,0.4762659149707978,21.914072704908268,10.436925887539722,0.9193562462419319,0.08178117196862197,109.20319776645614,8.930765496061985,0.9975676984393042
Setting 2,6,7,6,Toluene,0.6102868184910818,0.5855772770699443,0.6472558776047013,0.5306071022158273,18.710342061259542,9.927840382591835,0.7281360577256644,0.07997787172786583,88.57876653091546,7.084341227422132,0.9559859154929577
Setting 2,7,8,1,Ethanol,0.6126269468412536,0.42726081926144155,1.1410176347540546,0.5671177495766371,38.30975829960215,21.726143913695267,0.9157828282828283,0.16847024062010604,88.89870396558571,14.9767860478978,1.0
Setting 2,7,8,2,Ethylene,1.6607134965010535,1.0824840601181485,2.813679972810182,1.3085900213229482,18.604875788287448,24.346154804505876,0.5986111111111112,0.23162413686492772,89.58297677200987,20.749579672607656,0.9892676767676768
Setting 2,7,8,3,Ammonia,0.7896269442410803,0.5115871394260032,1.624015641947353,0.7703463510039474,27.34068686859686,21.06179836316513,0.8167322834645669,0.04260509964236219,238.2118258045717,10.149038574392803,0.9590551181102361
Setting 2,7,8,4,Acetaldehyde,1.3552361206873291,0.988520744233721,2.2533667039163863,1.0904955755306722,18.872140283623736,20.57998548008585,0.7624521072796934,0.19294223336502114,38.309985703680674,7.39161420185018,0.998374550098688
Setting 2,7,8,5,Acetone,1.9549571300687079,1.5914140722861978,2.9556786789259597,0.7869040753291311,31.46025368780731,24.756201837823898,0.710785902838883,0.22402856523912248,41.96122742294432,9.400513575234736,0.9574399110822951
Setting 2,7,8,6,Toluene,0.2813654285834369,0.10852930198004722,0.6928049884280708,0.24817637265168765,57.317361472924276,14.22481486031594,0.8283011272141706,0.11454601686386545,69.61775467259909,7.974436500751983,0.9997987117552335
Setting 2,8,9,1,Ethanol,0.6533301050730543,0.612139117261022,0.7052867028450714,0.5320995210695915,22.76362717034609,12.112515115147893,0.8543829412000481,0.05832221859725058,63.95982010887556,3.730278609830664,1.0
Setting 2,8,9,2,Ethylene,2.3549496840294046,2.2192805930629085,2.4850790179622377,0.9650744474803592,13.751939965324224,13.271645863818346,0.5883899233296823,0.0777930000424493,64.52727945569245,5.01977065343582,1.0
Setting 2,8,9,3,Ammonia,1.2355316737752242,1.1578269299601311,1.3204111609266573,0.6573269867034595,20.21625146512446,13.28868765800966,0.8484864864864864,0.026346428494589777,247.3462324738948,6.516689827279649,1.0
Setting 2,8,9,4,Acetaldehyde,0.6876558641372131,0.6050511526204698,0.8103955139651441,0.9107031782106192,14.53107521671876,13.233496382683336,0.8115443037974683,0.13456304414675088,36.397461263740084,4.897753186862312,0.9982447257383966
Setting 2,8,9,5,Acetone,0.3113767072790784,0.27593846666518107,0.356958805977677,0.27859108842802066,79.19729935919821,22.063661829038814,0.9035518053375197,0.07606312790963661,159.924976569609,12.164393948759805,0.9996729461015176
Setting 2,8,9,6,Toluene,1.3439373622856974,1.2288753340076468,1.6440694665142481,1.2764374308712032,11.587885566667577,14.791210881946657,0.25992111406262575,0.04858272537930492,100.42701897876212,4.879018283707444,0.9973168048512168
Setting 2,9,10,1,Ethanol,2.054740550302706,1.9211522068571116,2.2064052253796813,1.427937531703307,67.0494042521989,95.74236081006211,0.4100677777777778,0.37255164975638866,40.24712918199871,14.994134374712113,0.8294616666666665
Setting 2,9,10,2,Ethylene,0.9229050392540765,0.8486665251998542,1.0192273476702736,1.0798694225530179,88.52231075000324,95.59253659266481,0.6929977777777777,0.21019187505657583,72.96013959148789,15.335628545124354,0.9244283333333334
Setting 2,9,10,3,Ammonia,0.5416468923002978,0.5058289851182722,0.5817159922309203,0.5186221285379792,174.35046925055886,90.42201147432033,0.7919183333333333,0.1075597974846346,236.42858735761726,25.43021097576355,0.9588977777777778
Setting 2,9,10,4,Acetaldehyde,3.6420603274226817,3.440731351139828,3.833324794653399,1.0785075381215858,99.0577079901737,106.83448477644917,0.3745144444444444,0.9938688610540335,17.49554271709519,17.388275113761587,0.30735555555555555
Setting 2,9,10,5,Acetone,0.1921238254437243,0.1741332418189735,0.21268540506894404,0.1641496224205002,401.6614211969738,65.93257063036475,0.9073761111111112,0.030441854619483778,1293.2320679257775,39.36838260105089,0.9649344444444444
Setting 2,9,10,6,Toluene,2.835767906396557,2.6472724430326933,3.0435536594186807,1.1867267647653994,83.03522923804809,98.54012895522212,0.4337455555555556,0.32932698132590554,56.56585697539878,18.628662923820997,0.8246411111111112
